                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.0591,                0.68761,                 1.2041,                0.96231,                0.91778,                0.97223,                0.49941,                 1.6854,                 0.6268,                 1.4624,             0.00085368,             0.00085368,             0.00085368
                     64,                 1.0719,                0.67295,                 1.2137,                0.96913,                0.93599,                0.98629,                0.54655,                 1.5175,                0.59163,                 1.3576,             0.00084425,             0.00084425,             0.00084425
                     65,                 1.0537,                 0.6763,                 1.2122,                0.95389,                0.93863,                0.97333,                0.56171,                 1.5413,                0.61194,                 1.3474,             0.00083482,             0.00083482,             0.00083482
                     66,                 1.0595,                0.67767,                 1.1937,                0.95067,                0.93553,                 0.9736,                0.50344,                 1.7533,                0.64402,                 1.5036,             0.00082539,             0.00082539,             0.00082539
                     67,                 1.0512,                0.66621,                 1.1953,                0.95054,                0.96437,                 0.9739,                0.58925,                 1.3781,                0.55275,                 1.2535,             0.00081596,             0.00081596,             0.00081596
                     68,                 1.0263,                0.66085,                 1.1778,                0.92075,                0.93913,                0.96786,                 0.5433,                 1.5363,                0.62243,                 1.3929,             0.00080653,             0.00080653,             0.00080653
                     69,                 1.0519,                0.65417,                 1.1962,                0.92772,                0.95773,                0.97395,                 0.4723,                 1.8196,                0.66336,                 1.5262,              0.0007971,              0.0007971,              0.0007971
                     70,                 1.0351,                0.63824,                 1.1885,                 0.9511,                0.93971,                0.96429,                0.50833,                 1.6825,                0.64551,                 1.4351,             0.00078766,             0.00078766,             0.00078766
                     71,                 1.0255,                0.65149,                 1.1828,                0.97639,                0.95265,                0.97056,                0.55799,                 1.5724,                0.62169,                 1.3592,             0.00077823,             0.00077823,             0.00077823
                     72,                  1.023,                0.64243,                 1.1689,                0.96729,                0.95056,                0.98695,                0.52528,                 1.6449,                0.61395,                 1.4439,              0.0007688,              0.0007688,              0.0007688
                     73,                 1.0397,                0.64998,                  1.187,                0.95035,                0.96528,                0.98316,                0.58315,                 1.4797,                0.57632,                 1.3154,             0.00075937,             0.00075937,             0.00075937
                     74,                 1.0278,                0.64369,                 1.1894,                0.93581,                0.97407,                0.97248,                0.50834,                 1.6494,                0.61644,                 1.4483,             0.00074994,             0.00074994,             0.00074994
                     75,                 1.0121,                0.63761,                 1.1755,                0.94836,                0.97094,                0.98185,                0.53162,                 1.6974,                0.63027,                 1.4397,             0.00074051,             0.00074051,             0.00074051
                     76,                 1.0155,                0.64643,                 1.1809,                0.97064,                0.96968,                0.98539,                0.54575,                 1.5866,                 0.5982,                  1.415,             0.00073108,             0.00073108,             0.00073108
                     77,                 1.0012,                0.62293,                 1.1626,                0.94903,                 0.9743,                0.98302,                0.58885,                 1.4588,                0.56962,                 1.3235,             0.00072164,             0.00072164,             0.00072164
                     78,                0.97415,                 0.6014,                 1.1597,                 0.9631,                0.95126,                0.97834,                0.55815,                 1.5968,                0.60548,                 1.4048,             0.00071221,             0.00071221,             0.00071221
                     79,                 1.0087,                0.64013,                 1.1675,                0.96733,                0.94292,                0.95872,                 0.5007,                 1.6686,                0.62988,                 1.4538,             0.00070278,             0.00070278,             0.00070278
                     80,                 1.0052,                0.63233,                 1.1729,                0.96866,                0.94389,                0.96399,                0.49693,                 1.7072,                0.64989,                  1.522,             0.00069335,             0.00069335,             0.00069335
                     81,                0.97492,                0.61946,                 1.1521,                0.96384,                0.96115,                0.98062,                0.55037,                  1.555,                0.59775,                 1.3677,             0.00068392,             0.00068392,             0.00068392
                     82,                0.96599,                0.59529,                 1.1465,                 0.9453,                0.96142,                0.97916,                0.55075,                 1.5263,                0.60047,                   1.38,             0.00067449,             0.00067449,             0.00067449
                     83,                0.97307,                0.60052,                 1.1471,                0.96488,                0.93748,                0.97774,                0.55072,                 1.5688,                0.61573,                  1.384,             0.00066506,             0.00066506,             0.00066506
                     84,                0.96319,                0.59804,                 1.1481,                0.97634,                0.94502,                0.98438,                0.52692,                 1.6558,                0.60337,                 1.4364,             0.00065563,             0.00065563,             0.00065563
                     85,                0.95878,                 0.6047,                  1.144,                0.96931,                0.94715,                0.96792,                0.53073,                 1.6318,                0.61914,                 1.4365,             0.00064619,             0.00064619,             0.00064619
                     86,                0.95489,                0.58993,                 1.1531,                0.96831,                0.96609,                0.97651,                0.55315,                 1.6056,                0.59211,                 1.3956,             0.00063676,             0.00063676,             0.00063676
                     87,                0.95427,                0.59701,                 1.1351,                0.95958,                0.94998,                0.97922,                0.56585,                 1.5077,                0.58319,                 1.3385,             0.00062733,             0.00062733,             0.00062733
                     88,                0.94074,                0.56489,                 1.1336,                 0.9758,                 0.9347,                0.97443,                0.54067,                 1.5871,                0.58605,                 1.4157,              0.0006179,              0.0006179,              0.0006179
                     89,                0.92995,                0.57781,                 1.1371,                0.93213,                0.95811,                0.97628,                0.49255,                 1.7618,                0.65651,                  1.562,             0.00060847,             0.00060847,             0.00060847
                     90,                0.94735,                0.59548,                 1.1434,                0.96696,                0.96344,                 0.9835,                 0.5225,                  1.619,                0.60959,                 1.4763,             0.00059904,             0.00059904,             0.00059904
                     91,                0.92519,                0.57598,                 1.1311,                0.95311,                0.95461,                0.97326,                0.49167,                 1.7025,                0.61753,                 1.5841,             0.00058961,             0.00058961,             0.00058961
                     92,                0.94003,                0.58551,                 1.1381,                0.94592,                0.93246,                0.96671,                0.53351,                 1.5949,                0.59624,                 1.4362,             0.00058017,             0.00058017,             0.00058017
                     93,                0.92404,                0.55889,                 1.1243,                0.96243,                 0.9568,                0.98226,                0.55384,                 1.5564,                0.58276,                 1.4027,             0.00057074,             0.00057074,             0.00057074
                     94,                0.91168,                0.55353,                 1.1227,                0.97203,                0.95743,                0.98185,                0.53679,                 1.5931,                0.58602,                 1.4331,             0.00056131,             0.00056131,             0.00056131
                     95,                0.91274,                0.56838,                 1.1207,                  0.976,                0.92812,                0.97592,                0.56645,                 1.5257,                0.57938,                  1.391,             0.00055188,             0.00055188,             0.00055188
                     96,                0.90721,                0.55413,                 1.1279,                0.97996,                0.93968,                0.98658,                0.57392,                 1.5311,                  0.575,                 1.3758,             0.00054245,             0.00054245,             0.00054245
                     97,                0.88773,                0.55044,                 1.1078,                0.96156,                0.91685,                0.97592,                0.53648,                 1.5901,                0.61062,                 1.4683,             0.00053302,             0.00053302,             0.00053302
                     98,                0.90287,                0.56848,                 1.1171,                0.98031,                0.94126,                0.97965,                0.53843,                 1.5691,                0.60581,                 1.4604,             0.00052359,             0.00052359,             0.00052359
                     99,                0.87775,                0.54119,                  1.111,                0.96288,                0.95133,                0.98451,                0.56262,                 1.5598,                 0.5803,                 1.3931,             0.00051415,             0.00051415,             0.00051415
                    100,                0.87779,                0.54893,                 1.1011,                0.94817,                0.94728,                0.97949,                0.55959,                  1.614,                0.61034,                 1.4223,             0.00050472,             0.00050472,             0.00050472
                    101,                0.89473,                0.58626,                 1.1133,                0.97023,                0.95891,                0.98558,                0.56495,                 1.5206,                 0.5693,                 1.3977,             0.00049529,             0.00049529,             0.00049529
                    102,                0.88827,                0.53342,                 1.1053,                 0.9675,                0.96157,                0.97911,                 0.5725,                 1.4939,                0.56824,                 1.3331,             0.00048586,             0.00048586,             0.00048586
                    103,                 0.8698,                0.53137,                  1.102,                0.96591,                0.96226,                0.98194,                0.58594,                 1.4969,                0.56932,                 1.3619,             0.00047643,             0.00047643,             0.00047643
                    104,                0.87235,                0.54314,                 1.1004,                0.96287,                0.96772,                0.98221,                0.56519,                 1.5555,                0.56403,                 1.3937,               0.000467,               0.000467,               0.000467
                    105,                0.87368,                0.53927,                 1.1149,                0.95706,                0.97035,                0.98308,                0.57395,                 1.5123,                0.55858,                 1.3785,             0.00045757,             0.00045757,             0.00045757
                    106,                0.85692,                0.50754,                 1.0957,                0.97358,                0.97707,                0.98818,                0.53316,                 1.6154,                0.56326,                 1.4829,             0.00044813,             0.00044813,             0.00044813
                    107,                0.85554,                0.51429,                  1.093,                 0.9683,                0.96175,                0.98335,                0.53197,                 1.6456,                0.58008,                 1.5139,              0.0004387,              0.0004387,              0.0004387
                    108,                0.86918,                 0.5254,                  1.103,                0.94459,                0.97337,                 0.9795,                0.53999,                  1.602,                0.58867,                 1.4408,             0.00042927,             0.00042927,             0.00042927
                    109,                0.83636,                0.51487,                 1.0802,                0.95465,                0.96289,                0.97605,                0.56259,                 1.5267,                0.56984,                 1.4046,             0.00041984,             0.00041984,             0.00041984
                    110,                0.83019,                0.50522,                 1.0765,                0.95312,                0.97583,                0.97181,                0.59938,                 1.4074,                0.54703,                 1.2962,             0.00041041,             0.00041041,             0.00041041
                    111,                0.83139,                0.51494,                 1.0836,                0.96514,                0.95891,                0.98086,                0.54849,                 1.6098,                0.57543,                  1.438,             0.00040098,             0.00040098,             0.00040098
                    112,                0.83114,                0.50825,                 1.0774,                0.97239,                0.95578,                 0.9805,                0.54648,                 1.6008,                0.58406,                 1.4413,             0.00039155,             0.00039155,             0.00039155
                    113,                0.81747,                0.51215,                 1.0755,                0.96259,                0.95903,                0.98257,                0.57257,                 1.5527,                 0.5748,                 1.3981,             0.00038211,             0.00038211,             0.00038211
                    114,                0.84214,                0.50989,                  1.078,                0.97226,                0.96061,                0.98206,                 0.5433,                 1.6308,                0.60508,                 1.4504,             0.00037268,             0.00037268,             0.00037268
                    115,                0.83252,                0.51169,                 1.0707,                0.97364,                0.96805,                0.97584,                0.58231,                 1.4753,                0.55138,                 1.3569,             0.00036325,             0.00036325,             0.00036325
                    116,                0.80006,                0.48469,                 1.0599,                0.95628,                0.96471,                0.98366,                0.56806,                 1.5168,                0.56504,                 1.3959,             0.00035382,             0.00035382,             0.00035382
                    117,                0.79823,                0.48692,                 1.0707,                0.95987,                0.94306,                0.97504,                0.55818,                 1.5567,                0.58016,                 1.4329,             0.00034439,             0.00034439,             0.00034439
                    118,                0.79979,                0.49054,                 1.0578,                0.97357,                0.96429,                 0.9829,                0.56892,                 1.5074,                0.56012,                 1.4269,             0.00033496,             0.00033496,             0.00033496
                    119,                0.79332,                0.49869,                 1.0619,                0.96498,                0.96468,                0.98299,                 0.5727,                 1.5304,                0.56314,                 1.4216,             0.00032553,             0.00032553,             0.00032553
                    120,                 0.7885,                0.48243,                 1.0642,                 0.9731,                0.96908,                0.98211,                 0.5834,                 1.4833,                0.54462,                 1.3735,             0.00031609,             0.00031609,             0.00031609
                    121,                0.80281,                0.49941,                 1.0694,                0.95625,                0.96638,                0.97504,                0.55805,                 1.5409,                0.56674,                 1.4311,             0.00030666,             0.00030666,             0.00030666
                    122,                0.79287,                0.48351,                 1.0601,                0.95836,                0.96954,                0.98376,                0.55874,                 1.5823,                0.57992,                  1.448,             0.00029723,             0.00029723,             0.00029723
                    123,                0.79046,                0.48311,                  1.056,                0.96731,                0.96501,                0.98148,                0.56108,                  1.559,                0.57158,                 1.4562,              0.0002878,              0.0002878,              0.0002878
                    124,                0.76902,                 0.4662,                 1.0443,                0.95855,                0.96425,                0.98012,                0.57611,                 1.5145,                0.57793,                 1.4187,             0.00027837,             0.00027837,             0.00027837
                    125,                0.77741,                0.46752,                 1.0575,                0.96291,                0.95971,                0.98309,                 0.5709,                 1.4995,                 0.5685,                 1.4313,             0.00026894,             0.00026894,             0.00026894
                    126,                0.79282,                0.47582,                 1.0834,                0.95878,                0.97816,                0.98166,                0.56457,                 1.5399,                0.55317,                 1.4532,             0.00025951,             0.00025951,             0.00025951
                    127,                0.75753,                  0.457,                 1.0373,                0.95781,                0.95786,                0.98206,                0.55695,                 1.5815,                0.57062,                 1.4652,             0.00025007,             0.00025007,             0.00025007
                    128,                0.75235,                0.46983,                 1.0416,                 0.9652,                0.95802,                0.98321,                0.56618,                 1.5213,                0.56454,                 1.4296,             0.00024064,             0.00024064,             0.00024064
                    129,                0.75489,                0.46129,                   1.04,                0.96285,                0.96106,                0.98294,                0.54879,                 1.6077,                0.58541,                 1.4926,             0.00023121,             0.00023121,             0.00023121
                    130,                0.75223,                0.46138,                  1.042,                0.96527,                0.96289,                0.97966,                 0.5667,                 1.5264,                0.56427,                 1.4436,             0.00022178,             0.00022178,             0.00022178
                    131,                0.74766,                0.45248,                 1.0454,                0.96048,                0.96408,                 0.9783,                0.55073,                 1.5672,                0.57886,                 1.5039,             0.00021235,             0.00021235,             0.00021235
                    132,                0.74958,                0.45919,                 1.0394,                0.96745,                0.96168,                0.98007,                0.56598,                 1.5244,                0.55936,                 1.4414,             0.00020292,             0.00020292,             0.00020292
                    133,                0.74322,                0.46282,                 1.0443,                 0.9559,                0.95887,                0.98001,                0.56346,                 1.5748,                0.58086,                 1.4639,             0.00019349,             0.00019349,             0.00019349
                    134,                0.75234,                 0.4578,                 1.0399,                0.96389,                0.96357,                  0.984,                0.56869,                 1.5375,                0.56957,                 1.4747,             0.00018406,             0.00018406,             0.00018406
                    135,                0.73324,                0.45224,                 1.0339,                 0.9629,                0.95381,                0.98397,                0.56977,                 1.5541,                0.56342,                 1.4662,             0.00017462,             0.00017462,             0.00017462
                    136,                0.73231,                0.44453,                 1.0355,                0.96877,                0.95313,                0.98186,                0.57436,                 1.5239,                0.55349,                  1.446,             0.00016519,             0.00016519,             0.00016519
                    137,                0.71984,                0.43426,                  1.013,                0.95584,                0.96939,                0.98675,                 0.5672,                 1.5287,                0.55399,                  1.478,             0.00015576,             0.00015576,             0.00015576
                    138,                0.72549,                0.44409,                 1.0216,                0.95987,                 0.9683,                0.98499,                0.56533,                 1.5452,                0.56817,                 1.4821,             0.00014633,             0.00014633,             0.00014633
                    139,                0.71189,                0.43915,                 1.0249,                0.95443,                0.96106,                 0.9835,                0.57272,                 1.5333,                0.56349,                 1.4651,              0.0001369,              0.0001369,              0.0001369
                    140,                0.70927,                0.42851,                 1.0096,                0.96244,                0.96482,                0.98397,                0.56608,                 1.5706,                 0.5727,                 1.5053,             0.00012747,             0.00012747,             0.00012747
                    141,                0.70429,                0.36512,                 1.0119,                0.96097,                0.97003,                0.98338,                0.56945,                 1.5682,                0.57252,                 1.4896,             0.00011804,             0.00011804,             0.00011804
                    142,                0.67896,                0.36072,                 1.0002,                0.96084,                0.96683,                0.98487,                0.57379,                 1.5447,                0.56086,                  1.461,              0.0001086,              0.0001086,              0.0001086
                    143,                0.67856,                0.35948,                 1.0053,                0.94929,                0.98345,                 0.9852,                0.57806,                 1.5364,                0.55698,                   1.44,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    144,                0.66996,                0.34503,                0.99725,                0.97312,                0.96778,                0.98487,                0.57826,                 1.5548,                0.57054,                 1.4487,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    145,                0.67164,                0.34047,                0.98979,                0.96635,                 0.9727,                0.98446,                0.58794,                 1.5225,                  0.555,                  1.436,              8.031e-05,              8.031e-05,              8.031e-05
                    146,                0.65736,                0.33583,                0.98711,                 0.9623,                0.97045,                0.98448,                0.58191,                 1.5365,                0.55285,                 1.4626,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    147,                 0.6512,                 0.3375,                0.98987,                0.96656,                 0.9726,                 0.9857,                0.58716,                 1.5366,                0.56121,                 1.4575,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    148,                 0.6422,                0.33917,                0.98015,                 0.9679,                0.96732,                0.98395,                 0.5884,                 1.5244,                 0.5547,                 1.4452,             5.2016e-05,             5.2016e-05,             5.2016e-05
                    149,                 0.6519,                0.34001,                0.98544,                0.96713,                 0.9657,                0.98417,                0.57942,                 1.5474,                0.56653,                 1.4667,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    150,                0.63772,                0.33233,                0.97736,                0.96722,                0.96527,                0.98396,                0.57726,                 1.5551,                0.56594,                 1.4783,             3.3153e-05,             3.3153e-05,             3.3153e-05
